time step (dt), time (t) ,Total Energy, potential energy(E_pot) , kinetic energy (E_kin)
0.5,82.5,-3346.86,-3346.87,0.000949726
0.5,83,-3346.94,-3346.94,0.000953445
0.5,83.5,-3347.02,-3347.02,0.000957108
0.5,84,-3347.09,-3347.09,0.000960717
0.5,84.5,-3347.16,-3347.16,0.000964271
0.5,85,-3347.23,-3347.23,0.000967771
0.5,85.5,-3347.3,-3347.3,0.000971218
0.5,86,-3347.37,-3347.37,0.000974613
0.5,86.5,-3347.44,-3347.44,0.000977956
0.5,87,-3347.51,-3347.51,0.000981247
0.5,87.5,-3347.57,-3347.58,0.000984488
0.5,88,-3347.64,-3347.64,0.000987678
0.5,88.5,-3347.7,-3347.7,0.000990819
0.5,89,-3347.77,-3347.77,0.000993912
0.5,89.5,-3347.83,-3347.83,0.000996956
0.5,90,-3347.89,-3347.89,0.000999952
0.5,90.5,-3347.95,-3347.95,0.0010029
0.5,91,-3348.01,-3348.01,0.00100581
0.5,91.5,-3348.07,-3348.07,0.00100866
0.5,92,-3348.13,-3348.13,0.00101148
0.5,92.5,-3348.18,-3348.18,0.00101425
0.5,93,-3348.24,-3348.24,0.00101697
0.5,93.5,-3348.29,-3348.29,0.00101966
0.5,94,-3348.35,-3348.35,0.0010223
0.5,94.5,-3348.4,-3348.4,0.0010249
0.5,95,-3348.45,-3348.45,0.00102746
0.5,95.5,-3348.5,-3348.5,0.00102998
0.5,96,-3348.55,-3348.55,0.00103246
0.5,96.5,-3348.6,-3348.6,0.0010349
0.5,97,-3348.65,-3348.65,0.0010373
0.5,97.5,-3348.7,-3348.7,0.00103967
0.5,98,-3348.75,-3348.75,0.001042
0.5,98.5,-3348.8,-3348.8,0.00104429
0.5,99,-3348.84,-3348.84,0.00104656
0.5,99.5,-3348.89,-3348.89,0.00104878
0.1,0,-3327.48,-3327.48,3.34775e-09
0.1,0.1,-3327.48,-3327.48,1.33909e-08
0.1,0.2,-3327.48,-3327.48,3.01293e-08
0.1,0.3,-3327.48,-3327.48,5.35625e-08
0.1,0.4,-3327.48,-3327.48,8.36902e-08
0.1,0.5,-3327.48,-3327.48,1.20512e-07
0.1,0.6,-3327.48,-3327.48,1.64026e-07
0.1,0.7,-3327.48,-3327.48,2.14232e-07
0.1,0.8,-3327.48,-3327.48,2.7113e-07
0.1,0.9,-3327.48,-3327.48,3.34717e-07
0.1,1,-3327.49,-3327.49,4.04993e-07
0.1,1.1,-3327.49,-3327.49,4.81956e-07
0.1,1.2,-3327.49,-3327.49,5.65604e-07
0.1,1.3,-3327.49,-3327.49,6.55937e-07
0.1,1.4,-3327.49,-3327.49,7.52951e-07
0.1,1.5,-3327.5,-3327.5,8.56645e-07
0.1,1.6,-3327.5,-3327.5,9.67016e-07
0.1,1.7,-3327.5,-3327.5,1.08406e-06
0.1,1.8,-3327.5,-3327.5,1.20778e-06
0.1,1.9,-3327.5,-3327.5,1.33817e-06
0.1,2,-3327.51,-3327.51,1.47523e-06
0.1,2.1,-3327.51,-3327.51,1.61896e-06
0.1,2.2,-3327.51,-3327.51,1.76934e-06
0.1,2.3,-3327.52,-3327.52,1.92638e-06
0.1,2.4,-3327.52,-3327.52,2.09008e-06
0.1,2.5,-3327.52,-3327.52,2.26043e-06
0.1,2.6,-3327.53,-3327.53,2.43743e-06
0.1,2.7,-3327.53,-3327.53,2.62108e-06
0.1,2.8,-3327.54,-3327.54,2.81137e-06
0.1,2.9,-3327.54,-3327.54,3.00829e-06
0.1,3,-3327.54,-3327.54,3.21185e-06
0.1,3.1,-3327.55,-3327.55,3.42203e-06
0.1,3.2,-3327.55,-3327.55,3.63884e-06
0.1,3.3,-3327.56,-3327.56,3.86227e-06
0.1,3.4,-3327.56,-3327.56,4.09232e-06
0.1,3.5,-3327.57,-3327.57,4.32897e-06
0.1,3.6,-3327.57,-3327.57,4.57223e-06
0.1,3.7,-3327.58,-3327.58,4.8221e-06
0.1,3.8,-3327.58,-3327.58,5.07855e-06
0.1,3.9,-3327.59,-3327.59,5.3416e-06
0.1,4,-3327.59,-3327.59,5.61124e-06
0.1,4.1,-3327.6,-3327.6,5.88745e-06
0.1,4.2,-3327.6,-3327.6,6.17023e-06
0.1,4.3,-3327.61,-3327.61,6.45959e-06
0.1,4.4,-3327.62,-3327.62,6.7555e-06
0.1,4.5,-3327.62,-3327.62,7.05798e-06
0.1,4.6,-3327.63,-3327.63,7.367e-06
0.1,4.7,-3327.63,-3327.63,7.68256e-06
0.1,4.8,-3327.64,-3327.64,8.00466e-06
0.1,4.9,-3327.65,-3327.65,8.33329e-06
0.1,5,-3327.65,-3327.65,8.66845e-06
0.1,5.1,-3327.66,-3327.66,9.01012e-06
0.1,5.2,-3327.67,-3327.67,9.3583e-06
0.1,5.3,-3327.68,-3327.68,9.71298e-06
0.1,5.4,-3327.68,-3327.68,1.00742e-05
0.1,5.5,-3327.69,-3327.69,1.04418e-05
0.1,5.6,-3327.7,-3327.7,1.0816e-05
0.1,5.7,-3327.71,-3327.71,1.11966e-05
0.1,5.8,-3327.71,-3327.71,1.15837e-05
0.1,5.9,-3327.72,-3327.72,1.19772e-05
0.1,6,-3327.73,-3327.73,1.23772e-05
0.1,6.1,-3327.74,-3327.74,1.27836e-05
0.1,6.2,-3327.75,-3327.75,1.31965e-05
0.1,6.3,-3327.76,-3327.76,1.36157e-05
